id,clean_message,majority_vote,relevant_pieces,classification,confidence,reasoning
1252707503441313794_twitter,why are you repeating yourself are you a little retarded,hate speech,retarded,hate speech,85.0,"The message uses the term 'retarded' in a derogatory manner, which is often associated with hate speech against individuals with intellectual disabilities. This language can perpetuate stigma and discrimination."
1103385226921762816_twitter,well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,normal,muslim she hates the jews jew hatred islam,hate speech,95.0,"The message expresses a generalization about Muslims, attributing a negative trait (hatred of Jews) to an entire religion. This promotes harmful stereotypes and incites division, which is characteristic of hate speech."
1169443635869487105_twitter,lol not me i don ’ t deal with bms not outside children ’ ss i leave that ghetto mess for everybody else 😂 😂 😂,hate speech,ghetto,hate speech,85.0,"The message uses derogatory language ('ghetto mess') to refer to a specific group of people, implying a negative stereotype associated with race and socioeconomic status. The use of 'bms' likely refers to a derogatory term for a specific demographic, further indicating a prejudiced viewpoint."
17372469_gab,an these nigger biches look like godzilla nasty,normal,nigger,hate speech,95.0,"The message contains a racial slur ('nigger') and derogatory language ('biches' and 'godzilla nasty') aimed at a specific racial group, which qualifies it as hate speech."
1168407844095483904_twitter,yeah humnh what how do i use this app i ’ m alittle retarded 👹,hate speech,retarded,hate speech,85.0,"The use of the term 'retarded' is derogatory and offensive, perpetuating negative stereotypes about individuals with intellectual disabilities. The emoji used also suggests a mocking tone, which further contributes to the hate speech classification."
12643541_gab,black people are oppressed by their own culture and community blacks need to wake and realize the democrats party is the racist party that uses them for votes the kk democrats have broken up the black family and run the community onto the ghetto plantation to control it youvebeenpunkd,hate speech,black people are oppressed by their own culture and community run the community onto the ghetto plantation,hate speech,85.0,"The message contains derogatory language and perpetuates harmful stereotypes about black people, suggesting that their culture and community are to blame for their oppression. It also invokes a historical context that is racially charged, implying that the Democratic Party is akin to the Ku Klux Klan, which is a hate group. This framing is divisive and promotes a negative narrative about a racial group."
24305062_gab,education or marxist indoctrination since it is well established blacks are incapable of learning anything past the age of ten unless they are half white should not blacks go to a trade school upon age  say learning how to pick cotton fruits and vegetables,normal,blacks are incapable of learning,hate speech,95.0,"The message expresses a racist stereotype that suggests black individuals are inherently incapable of learning and should be relegated to menial labor, which is a clear form of hate speech."
18943330_gab,the muzzie loving natsoc get the sword,normal,muzzie,hate speech,95.0,"The term 'muzzies' is a derogatory slang for Muslims, and the phrase 'get the sword' implies violence or harm towards them. This message promotes hostility and violence against a specific group based on their religion."
1077853_gab,tbtc take back the country toxic masculinity patriarchy harm men noxious femaleness and public slut posturing empower women neither feminism nor now could have pulled this off this is the doing of taxpayer supported state university system maga,hate speech,masculinity,normal,85.0,The message critiques societal issues related to masculinity and feminism without using derogatory language or targeting specific groups in a hateful manner. It expresses a political opinion rather than hate speech.
1162547667416899586_twitter,there too many wypipo asking what this is and if they can get in this is a niggers only event,normal,niggers,hate speech,95.0,"The message explicitly uses a racial slur ('niggers') and promotes exclusion based on race, which is a clear indication of hate speech."
1178412537496383488_twitter,dont buy a mouse on media markt fucking niggers giving me fake logitech mouse turns off the middle of the ranked,normal,niggers,hate speech,95.0,"The message contains a racial slur ('niggers') directed at a specific group, which is a clear indication of hate speech. The context suggests frustration with a product, but the use of the slur overshadows any legitimate complaint and promotes a negative stereotype."
20989384_gab,i hope there are not many of my fellow asians in sweden high chance of falling victim to islamic rape gangs in that country,normal,islamic rape gangs,hate speech,85.0,"The message expresses a negative stereotype about a specific group (Muslims) and implies that they are involved in criminal behavior (rape), which promotes fear and hostility towards them. This aligns with hate speech as it targets a group based on their religion and ethnicity."
1083042797995941889_twitter,take drugs and rape sluts,hate speech,sluts,hate speech,85.0,"The message promotes violence and sexual assault against women, which is a clear expression of hate and aggression towards a specific group."
1079795475560218626_twitter,treat the immigrants as drug traffickers they will soon have a change of mind 👍,hate speech,immigrants drug traffickers,hate speech,85.0,"The message implies a negative stereotype about immigrants, equating them with drug traffickers, which promotes a harmful and prejudiced view of a group based on their immigration status."
10682437_gab,puppy no i was alone i am not a nazi white supremacist or any other type of person i am  southern i support traditional values and all things with southern culture i support anything that saves confederate monuments and history,hate speech,,normal,85.0,"The message expresses support for traditional values and Southern culture, specifically mentioning Confederate monuments and history. While the topic can be sensitive, the message does not contain any explicit hate speech or derogatory language towards any group."
13948927_gab,cia nigger apologizes to pol for the poz,normal,nigger,hate speech,95.0,"The message contains a racial slur ('nigger') and derogatory language directed towards a specific group, which qualifies it as hate speech. The use of such language is intended to demean and dehumanize individuals based on their race."
1225858073270476800_twitter,space is gay and so are you,hate speech,gay,hate speech,85.0,"The message uses derogatory language ('gay') in a pejorative context, which can be interpreted as an insult aimed at someone's sexual orientation. This aligns with hate speech as it targets a specific group based on identity."
9551353_gab,the catholic church stopped being a bulwark against western rot when the church became infested with homosexuals it is now just as if not more corrupted than the government bureaucracies of western nations and has sunk so low we are hearing stories of depraved gay orgies on sacred church ground,normal,rot when the church became infested with homosexuals depraved gay orgies on sacred church ground,hate speech,85.0,"The message expresses a derogatory view towards the Catholic Church and associates it with homosexuality in a negative context, implying moral decay and corruption. This type of rhetoric can contribute to stigmatization and discrimination against LGBTQ+ individuals, which aligns with hate speech."
18529253_gab,fun fact did you know kardashian is armenian for nigger lover,normal,nigger,hate speech,95.0,"The message contains a derogatory term that is racially charged and offensive, specifically targeting a racial group. The use of 'nigger lover' is a clear indication of hate speech, as it promotes racial hatred and discrimination."
13455893_gab,new rule in all competitive shows baking dancing or other let paki or nigger token win in order to win public support and hide our true racist feeling for coloureds british broadcasting rules and regulations,normal,paki nigger,hate speech,95.0,"The message contains derogatory terms directed at specific racial and ethnic groups, using slurs that are widely recognized as hate speech. It expresses a negative sentiment towards these groups and suggests a manipulative agenda regarding their representation in media, which further indicates a prejudiced viewpoint."
1100389613074558976_twitter,not low class they enjoy to get fucked by muslims,normal,fucked by muslims,hate speech,85.0,"The message expresses derogatory sentiments towards a specific group (Muslims) and implies a negative stereotype about their interactions with others, which can be interpreted as promoting hate or discrimination."
